class_label,support,precision_flat,recall_flat,f1_flat,precision_ensemble,recall_ensemble,f1_ensemble,precision_delta,recall_delta,f1_delta,diagnostic_group
Uploading_Attack,267,0.3642857142857142,0.1910112359550561,0.2506142506142506,0.4041297935103244,0.5131086142322098,0.4521452145214521,0.039844079224610196,0.3220973782771537,0.20153096390720154,hardest by ensemble recall
XSS,729,0.4860627177700348,0.382716049382716,0.4282425172678434,0.5005959475566151,0.5761316872427984,0.5357142857142857,0.014533229786580282,0.19341563786008242,0.1074717684464423,hardest by ensemble recall
Backdoor_Malware,640,0.5708884688090737,0.471875,0.5166809238665526,0.5873925501432665,0.640625,0.6128550074738416,0.01650408133419279,0.16875,0.09617408360728896,hardest by ensemble recall
CommandInjection,1086,0.5815085158150851,0.440147329650092,0.5010482180293501,0.7021484375,0.6620626151012892,0.6815165876777252,0.12063992168491489,0.22191528545119715,0.1804683696483751,hardest by ensemble recall
Recon-PingSweep,465,0.6974169741697417,0.4064516129032258,0.5135869565217391,0.5575539568345323,0.6666666666666666,0.6072477962781586,-0.13986301733520934,0.26021505376344084,0.09366083975641948,hardest by ensemble recall
Recon-OSScan,9953,0.8277264325323475,0.6748718979202251,0.7435244631392517,0.8300941933945392,0.6994875916809002,0.7592148309705562,0.0023677608621917035,0.024615693760675184,0.015690367831304508,hardest by ensemble recall
SqlInjection,1028,0.6932668329177057,0.5408560311284046,0.6076502732240437,0.6376936316695353,0.7208171206225681,0.6767123287671233,-0.055573201248170445,0.17996108949416345,0.06906205554307954,hardest by ensemble recall
BrowserHijacking,1155,0.8632286995515696,0.6666666666666666,0.7523204689789936,0.6965174129353234,0.7272727272727273,0.7115628970775095,-0.16671128661624612,0.06060606060606066,-0.0407575719014841,hardest by ensemble recall
DictionaryBruteForce,2543,0.8,0.7156901297679905,0.755500207555002,0.6905181529784984,0.7703499803381832,0.7282527881040892,-0.10948184702150165,0.054659850570192736,-0.027247419450912802,hardest by ensemble recall
Recon-PortScan,9934,0.7587502471821238,0.7724984900342259,0.765562649640862,0.7797142567636032,0.7746124421179786,0.7771549765187092,0.02096400958147937,0.002113952083752757,0.011592326877847281,hardest by ensemble recall
DNS_Spoofing,9990,0.8180251965112523,0.7604604604604605,0.7881931835866577,0.8156964656964657,0.7854854854854855,0.8003059663437022,-0.0023287308147865726,0.025025025025025016,0.012112782757044527,hardest by ensemble recall
MITM-ArpSpoofing,10072,0.928054397894275,0.8401509134233519,0.8819176654507556,0.9268612659888488,0.8417394757744241,0.88225193818617,-0.001193131905426248,0.001588562351072187,0.0003342727354144204,hardest by ensemble recall
DDoS-RSTFINFlood,10162,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,easiest non benign by ensemble recall
Mirai-udpplain,10074,1.0,0.9997022036926744,0.9998510796723752,0.9999007345642248,0.9999007345642248,0.9999007345642248,-9.926543577520874e-05,0.0001985308715504175,4.9654891849604255e-05,easiest non benign by ensemble recall
DDoS-PSHACK_Flood,10042,1.0,0.9999004182433778,0.999950206642434,1.0,0.9999004182433778,0.999950206642434,0.0,0.0,0.0,easiest non benign by ensemble recall
DDoS-ICMP_Flood,9925,1.0,0.9998992443324936,0.9999496196281928,1.0,0.9998992443324936,0.9999496196281928,0.0,0.0,0.0,easiest non benign by ensemble recall
DDoS-SynonymousIP_Flood,9845,0.9990865726174768,0.9998984255967496,0.9994923342471316,0.999187982135607,0.9998984255967496,0.9995430776260344,0.00010140951813020216,0.0,5.074337890287328e-05,easiest non benign by ensemble recall
DDoS-ACK_Fragmentation,9998,0.9998999699909972,0.9997999599919984,0.9998499624906226,0.9998999699909972,0.9997999599919984,0.9998499624906226,0.0,0.0,0.0,easiest non benign by ensemble recall
DoS-TCP_Flood,10067,0.9997019966226284,0.9997019966226284,0.9997019966226284,0.9996027016289232,0.9997019966226284,0.9996523466600448,-9.929499370520123e-05,0.0,-4.9649962583608875e-05,easiest non benign by ensemble recall
DDoS-ICMP_Fragmentation,10088,1.0,0.9995043616177636,0.999752119379307,0.9999008428358948,0.999603489294211,0.9997521439547912,-9.915716410524578e-05,9.912767644737475e-05,2.4575484203204212e-08,easiest non benign by ensemble recall
DDoS-UDP_Flood,10050,0.9994031038599284,0.9996019900497513,0.9995025370609888,0.9995025370609888,0.9996019900497513,0.9995522610815384,9.943320106042819e-05,0.0,4.97240205495908e-05,easiest non benign by ensemble recall
DDoS-TCP_Flood,9967,0.9997993176801124,0.9996990067221831,0.9997491596849446,0.9997992975413948,0.9995986756295776,0.9996989765201686,-2.013871758244079e-08,-0.0001003310926055434,-5.0183164776007594e-05,easiest non benign by ensemble recall
Mirai-greip_flood,10076,0.9984137999405176,0.9995037713378324,0.9989584883201904,0.9991071428571427,0.9995037713378324,0.9993054177416154,0.0006933429166251504,0.0,0.00034692942142500183,easiest non benign by ensemble recall
DoS-UDP_Flood,9982,0.9996993385447984,0.9992987377279102,0.999498997995992,0.9996993987975952,0.9994990983770788,0.9995992385532512,6.025279675192508e-08,0.0002003606491686183,0.00010024055725921244,easiest non benign by ensemble recall
