feature,mean_abs_shap,lightgbm_gain_importance,rank,sampling_note,shap_sample_rows
IAT,0.5892536937216406,35188.0,1,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Number,0.5500730795416897,9861.0,2,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Header_Length,0.26860559202213213,27253.0,3,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Protocol Type,0.16893415780352525,18648.0,4,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
rst_count,0.1604623263496261,18709.0,5,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Weight,0.14076451180188176,3422.0,6,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
syn_count,0.1353515499697619,18901.0,7,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
flow_duration,0.12431864654628261,29979.0,8,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
syn_flag_number,0.11708057269047825,1138.0,9,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Min,0.11683956521758429,17946.0,10,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Tot size,0.11620615568024074,15534.0,11,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Variance,0.11061579818997476,9005.0,12,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
urg_count,0.0971090898223539,21191.0,13,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Rate,0.0858909975450675,31449.0,14,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Magnitue,0.08026735770485828,8659.0,15,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
fin_count,0.07800330712362406,7324.0,16,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Max,0.06618236055941594,11669.0,17,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Tot sum,0.05897516469203876,11090.0,18,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Covariance,0.05509108239662955,11545.0,19,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Duration,0.04798700215111725,24389.0,20,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
ack_count,0.04030530929910732,8294.0,21,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
AVG,0.03788749796528668,6495.0,22,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
ICMP,0.03599905939719763,513.0,23,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
TCP,0.032996668623042985,1096.0,24,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
UDP,0.02746353391319211,556.0,25,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
HTTP,0.02478503093384909,1646.0,26,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
ack_flag_number,0.02430802897394048,1042.0,27,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
psh_flag_number,0.024157790618183052,717.0,28,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Std,0.02346247009495528,5763.0,29,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
HTTPS,0.02211696927427676,2359.0,30,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Radius,0.020917660424278194,4702.0,31,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
fin_flag_number,0.018190889130530276,228.0,32,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
rst_flag_number,0.01356512879433989,552.0,33,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Srate,0.010885735453427579,3254.0,34,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
SSH,0.000710913907879965,65.0,35,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
ARP,0.00026972324162072455,273.0,36,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
DNS,0.0001898989830605064,260.0,37,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
IPv,7.365726423767408e-05,115.0,38,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
LLC,7.265896861353655e-06,13.0,39,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
cwr_flag_number,0.0,0.0,40,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Drate,0.0,0.0,41,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
ece_flag_number,0.0,0.0,42,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
DHCP,0.0,0.0,43,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
Telnet,0.0,0.0,44,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
SMTP,0.0,0.0,45,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
IRC,0.0,0.0,46,"borderline_smote:{""28"": 2500, ""31"": 2500}",3000
