quantity,point_estimate,ci_low_2_5,ci_high_97_5,n_bootstrap
baseline_macro_f1,0.8611959509469154,0.8580112738402822,0.8642450988622126,2000
baseline_balanced_accuracy,0.8445912659707338,0.8416965113822249,0.8476896055259425,2000
baseline_minority_recall,0.19101123595505617,0.14285714285714285,0.2384742647058823,2000
baseline_worst_class_recall,0.19101123595505617,0.14285714285714285,0.2384742647058823,2000
ensemble_macro_f1,0.8827602032560433,0.8801143349540064,0.8853267174700329,2000
ensemble_balanced_accuracy,0.8883205055888225,0.8853768847748775,0.8913522992321666,2000
ensemble_minority_recall,0.5131086142322098,0.4548872180451128,0.5714405160057333,2000
ensemble_worst_class_recall,0.5131086142322098,0.4548872180451128,0.5650539784086365,2000
delta_macro_f1,0.02156425230912795,0.01857049753405108,0.024624201501766755,2000
delta_balanced_accuracy,0.04372923961808872,0.04100839022791744,0.046521913299398664,2000
delta_minority_recall,0.32209737827715357,0.2635327918170879,0.3836746559088751,2000
delta_worst_class_recall,0.32209737827715357,0.2635327918170879,0.3798488372093023,2000
